VOCdevkit\VOC2007\JPEGImages\528.jpg VOCdevkit\VOC2007\Annotations\528.xml
VOCdevkit\VOC2007\JPEGImages\103.JPG VOCdevkit\VOC2007\Annotations\103.xml
VOCdevkit\VOC2007\JPEGImages\330.jpg VOCdevkit\VOC2007\Annotations\330.xml
VOCdevkit\VOC2007\JPEGImages\530.jpg VOCdevkit\VOC2007\Annotations\530.xml
VOCdevkit\VOC2007\JPEGImages\203.jpg VOCdevkit\VOC2007\Annotations\203.xml
VOCdevkit\VOC2007\JPEGImages\136.jpg VOCdevkit\VOC2007\Annotations\136.xml
VOCdevkit\VOC2007\JPEGImages\422.jpg VOCdevkit\VOC2007\Annotations\422.xml
VOCdevkit\VOC2007\JPEGImages\436.jpg VOCdevkit\VOC2007\Annotations\436.xml
VOCdevkit\VOC2007\JPEGImages\216.jpg VOCdevkit\VOC2007\Annotations\216.xml
VOCdevkit\VOC2007\JPEGImages\185.jpg VOCdevkit\VOC2007\Annotations\185.xml
VOCdevkit\VOC2007\JPEGImages\515.jpg VOCdevkit\VOC2007\Annotations\515.xml
VOCdevkit\VOC2007\JPEGImages\407.jpg VOCdevkit\VOC2007\Annotations\407.xml
VOCdevkit\VOC2007\JPEGImages\552.jpg VOCdevkit\VOC2007\Annotations\552.xml
VOCdevkit\VOC2007\JPEGImages\209.jpg VOCdevkit\VOC2007\Annotations\209.xml
VOCdevkit\VOC2007\JPEGImages\123.jpg VOCdevkit\VOC2007\Annotations\123.xml
VOCdevkit\VOC2007\JPEGImages\001.jpg VOCdevkit\VOC2007\Annotations\001.xml
VOCdevkit\VOC2007\JPEGImages\464.jpg VOCdevkit\VOC2007\Annotations\464.xml
VOCdevkit\VOC2007\JPEGImages\194.jpg VOCdevkit\VOC2007\Annotations\194.xml
VOCdevkit\VOC2007\JPEGImages\437.jpg VOCdevkit\VOC2007\Annotations\437.xml
VOCdevkit\VOC2007\JPEGImages\367.jpg VOCdevkit\VOC2007\Annotations\367.xml
VOCdevkit\VOC2007\JPEGImages\033.jpg VOCdevkit\VOC2007\Annotations\033.xml
VOCdevkit\VOC2007\JPEGImages\060.jpg VOCdevkit\VOC2007\Annotations\060.xml
VOCdevkit\VOC2007\JPEGImages\238.jpg VOCdevkit\VOC2007\Annotations\238.xml
VOCdevkit\VOC2007\JPEGImages\090.JPG VOCdevkit\VOC2007\Annotations\090.xml
VOCdevkit\VOC2007\JPEGImages\247.jpg VOCdevkit\VOC2007\Annotations\247.xml
VOCdevkit\VOC2007\JPEGImages\308.jpg VOCdevkit\VOC2007\Annotations\308.xml
VOCdevkit\VOC2007\JPEGImages\054.jpg VOCdevkit\VOC2007\Annotations\054.xml
VOCdevkit\VOC2007\JPEGImages\011.jpg VOCdevkit\VOC2007\Annotations\011.xml
VOCdevkit\VOC2007\JPEGImages\272.jpg VOCdevkit\VOC2007\Annotations\272.xml
VOCdevkit\VOC2007\JPEGImages\069.jpg VOCdevkit\VOC2007\Annotations\069.xml
VOCdevkit\VOC2007\JPEGImages\023.jpg VOCdevkit\VOC2007\Annotations\023.xml
VOCdevkit\VOC2007\JPEGImages\042.jpg VOCdevkit\VOC2007\Annotations\042.xml
VOCdevkit\VOC2007\JPEGImages\259.jpg VOCdevkit\VOC2007\Annotations\259.xml
VOCdevkit\VOC2007\JPEGImages\379.jpg VOCdevkit\VOC2007\Annotations\379.xml
VOCdevkit\VOC2007\JPEGImages\197.jpg VOCdevkit\VOC2007\Annotations\197.xml
VOCdevkit\VOC2007\JPEGImages\358.jpg VOCdevkit\VOC2007\Annotations\358.xml
VOCdevkit\VOC2007\JPEGImages\016.jpg VOCdevkit\VOC2007\Annotations\016.xml
VOCdevkit\VOC2007\JPEGImages\020.jpg VOCdevkit\VOC2007\Annotations\020.xml
VOCdevkit\VOC2007\JPEGImages\081.JPG VOCdevkit\VOC2007\Annotations\081.xml
VOCdevkit\VOC2007\JPEGImages\153.jpg VOCdevkit\VOC2007\Annotations\153.xml
VOCdevkit\VOC2007\JPEGImages\412.jpg VOCdevkit\VOC2007\Annotations\412.xml
VOCdevkit\VOC2007\JPEGImages\435.jpg VOCdevkit\VOC2007\Annotations\435.xml
VOCdevkit\VOC2007\JPEGImages\189.jpg VOCdevkit\VOC2007\Annotations\189.xml
VOCdevkit\VOC2007\JPEGImages\533.jpg VOCdevkit\VOC2007\Annotations\533.xml
VOCdevkit\VOC2007\JPEGImages\135.jpg VOCdevkit\VOC2007\Annotations\135.xml
VOCdevkit\VOC2007\JPEGImages\550.jpg VOCdevkit\VOC2007\Annotations\550.xml
